CrowdSize,Area,Density,Exits,EventType,Risk,EventName
17780,6429,2.7655934048841186,9,0,0,Synthetic
3696,6368,0.5804020100502513,4,1,0,Synthetic
8358,432,19.34722222222222,2,2,1,Synthetic
6471,4406,1.4686790739900135,6,1,0,Synthetic
13010,8143,1.5976912685742355,8,0,0,Synthetic
6838,2672,2.559131736526946,5,1,0,Synthetic
19223,5601,3.4320657025531154,2,2,1,Synthetic
10267,1076,9.54182156133829,6,0,1,Synthetic
17944,1933,9.282979824107604,6,2,1,Synthetic
6867,7186,0.9556081269134428,8,2,0,Synthetic
13146,8634,1.522585128561501,8,0,0,Synthetic
10887,9311,1.1692621630329718,6,1,0,Synthetic
8759,8395,1.0433591423466348,6,1,0,Synthetic
14017,2751,5.095238095238095,6,2,1,Synthetic
5660,4489,1.2608598797059478,8,1,0,Synthetic
13846,6516,2.1249232658072437,5,1,0,Synthetic
9433,9115,1.034887547997806,1,0,0,Synthetic
6383,2248,2.8394128113879002,6,0,0,Synthetic
2017,4434,0.45489400090211995,4,0,0,Synthetic
18510,3944,4.693204868154158,6,1,0,Synthetic
109,460,0.23695652173913043,7,1,0,Synthetic
2319,7241,0.3202596326474244,8,1,0,Synthetic
1719,8712,0.19731404958677687,5,0,0,Synthetic
19316,3024,6.387566137566138,8,1,1,Synthetic
3590,9510,0.3774973711882229,1,0,0,Synthetic
12319,435,28.319540229885057,2,1,1,Synthetic
2008,8767,0.22904072088513744,9,1,0,Synthetic
19119,8362,2.2864147333173883,3,0,0,Synthetic
5515,3591,1.5357839042049568,6,0,0,Synthetic
8107,9264,0.875107944732297,5,1,0,Synthetic
15624,3098,5.043253712072305,4,0,1,Synthetic
14160,1265,11.193675889328063,9,1,1,Synthetic
10635,9710,1.0952626158599381,8,1,0,Synthetic
7043,8004,0.8799350324837582,6,0,0,Synthetic
4770,2390,1.99581589958159,1,0,0,Synthetic
2292,1448,1.5828729281767955,7,1,0,Synthetic
18481,3887,4.754566503730383,8,2,0,Synthetic
11402,2170,5.2543778801843315,6,1,1,Synthetic
17686,8335,2.121895620875825,4,2,0,Synthetic
5888,5608,1.0499286733238231,4,1,0,Synthetic
9546,1122,8.508021390374331,4,0,1,Synthetic
10889,1320,8.249242424242425,5,2,1,Synthetic
17434,2536,6.874605678233438,4,1,1,Synthetic
4712,2065,2.2818401937046007,1,1,0,Synthetic
6471,6559,0.9865833206281446,4,2,0,Synthetic
3328,3919,0.8491962235264098,5,0,0,Synthetic
14482,2571,5.632827693504473,2,2,1,Synthetic
16578,2874,5.768267223382046,3,1,1,Synthetic
2216,5979,0.37063054022411773,8,1,0,Synthetic
11497,6366,1.8060006283380459,8,1,0,Synthetic
11573,1184,9.774493243243244,1,2,1,Synthetic
927,3731,0.24845885821495578,4,0,0,Synthetic
6059,326,18.585889570552148,1,2,1,Synthetic
11741,6224,1.8864074550128536,6,2,0,Synthetic
7296,3568,2.0448430493273544,6,2,0,Synthetic
13818,1992,6.936746987951807,5,0,1,Synthetic
3517,1845,1.9062330623306234,4,1,0,Synthetic
19514,3072,6.352213541666667,1,2,1,Synthetic
4762,6714,0.7092642240095324,8,2,0,Synthetic
2808,7312,0.38402625820568925,5,0,0,Synthetic
19991,6656,3.0034555288461537,5,1,0,Synthetic
13324,8170,1.630844553243574,4,0,0,Synthetic
1725,8173,0.21106080998409396,2,2,0,Synthetic
8766,8809,0.9951186286752185,1,2,0,Synthetic
9246,5171,1.788048733320441,3,1,0,Synthetic
13051,2190,5.959360730593607,4,1,1,Synthetic
13572,6520,2.08159509202454,6,1,0,Synthetic
10495,5788,1.8132342778161714,1,2,0,Synthetic
5044,3632,1.3887665198237886,1,1,0,Synthetic
10016,6904,1.4507531865585168,7,0,0,Synthetic
1859,9381,0.19816650676900116,7,2,0,Synthetic
1051,9114,0.1153170945797674,1,0,0,Synthetic
9792,8677,1.1285006338596288,8,2,0,Synthetic
18549,968,19.162190082644628,3,2,1,Synthetic
6745,5283,1.2767367026310807,1,1,0,Synthetic
11585,5997,1.9317992329498082,3,2,0,Synthetic
19819,8238,2.405802379218257,3,1,0,Synthetic
1581,6505,0.24304381245196002,1,2,0,Synthetic
16538,7843,2.1086319010582684,2,2,0,Synthetic
15808,1032,15.317829457364342,9,2,1,Synthetic
14395,8719,1.650992086248423,6,0,0,Synthetic
19794,3500,5.655428571428572,3,2,1,Synthetic
3154,8170,0.386046511627907,8,1,0,Synthetic
9603,2738,3.5073046018991967,4,0,0,Synthetic
15170,1022,14.84344422700587,2,2,1,Synthetic
4525,9166,0.493672267073969,1,2,0,Synthetic
3552,9306,0.38168923275306255,4,0,0,Synthetic
8805,7052,1.2485819625638117,4,2,0,Synthetic
4941,1609,3.0708514605344934,3,2,1,Synthetic
11482,4691,2.4476657429119593,4,0,0,Synthetic
904,1479,0.6112237998647735,9,1,0,Synthetic
7183,6186,1.161170384739735,4,1,0,Synthetic
11193,1587,7.052930056710775,8,0,1,Synthetic
15617,2879,5.424452935046891,7,0,1,Synthetic
3286,2773,1.1849981968986658,9,1,0,Synthetic
8528,1504,5.670212765957447,7,0,1,Synthetic
17785,2741,6.4885078438526085,4,1,1,Synthetic
8733,9196,0.9496520226185298,6,1,0,Synthetic
5575,8432,0.6611717267552182,6,1,0,Synthetic
7284,5996,1.2148098732488326,9,1,0,Synthetic
12975,1822,7.121295279912184,5,1,1,Synthetic
16825,2274,7.398856640281442,9,2,1,Synthetic
17129,4463,3.8380013443871834,2,0,1,Synthetic
15256,8846,1.7246212977617001,1,1,0,Synthetic
3128,7843,0.39882697947214074,2,1,0,Synthetic
17870,3066,5.828440965427267,5,2,1,Synthetic
13181,4324,3.048334875115634,5,2,0,Synthetic
6919,9528,0.7261754827875735,7,2,0,Synthetic
17817,4350,4.095862068965517,8,1,0,Synthetic
7815,9142,0.8548457667906366,4,2,0,Synthetic
1862,7301,0.2550335570469799,2,0,0,Synthetic
253,7817,0.03236535755404887,5,0,0,Synthetic
15148,2543,5.95674400314589,1,0,1,Synthetic
1340,260,5.153846153846154,8,1,1,Synthetic
12412,8170,1.51921664626683,3,1,0,Synthetic
1352,4403,0.3070633658868953,3,1,0,Synthetic
18806,4290,4.383682983682983,1,0,1,Synthetic
16813,3840,4.378385416666666,7,0,1,Synthetic
1441,8607,0.16742186592308586,3,2,0,Synthetic
19192,1950,9.842051282051282,5,1,1,Synthetic
7219,9101,0.793209537413471,8,0,0,Synthetic
12018,4193,2.8662055807297877,9,0,0,Synthetic
13949,8438,1.6531168523346764,7,0,0,Synthetic
12282,6113,2.0091608048421397,5,1,0,Synthetic
16874,4630,3.6444924406047514,5,2,0,Synthetic
4332,8207,0.5278420860241257,2,2,0,Synthetic
1600,6937,0.23064725385613377,4,2,0,Synthetic
19526,4697,4.157121566957633,7,0,1,Synthetic
9474,3423,2.7677475898334793,3,0,0,Synthetic
13509,330,40.93636363636364,5,2,1,Synthetic
3083,4478,0.6884769986601161,7,2,0,Synthetic
6740,5668,1.1891319689484827,6,0,0,Synthetic
7664,8884,0.8626744709590275,2,2,0,Synthetic
19725,745,26.476510067114095,7,0,1,Synthetic
15875,4010,3.958852867830424,7,1,0,Synthetic
16471,2232,7.379480286738351,5,0,1,Synthetic
371,3711,0.09997305308542172,9,1,0,Synthetic
7169,1120,6.400892857142857,7,0,1,Synthetic
10916,3960,2.7565656565656567,3,0,0,Synthetic
1265,8767,0.14429109159347553,2,1,0,Synthetic
14369,4588,3.1318657367044462,9,0,0,Synthetic
14386,2832,5.079802259887006,1,0,1,Synthetic
9255,2028,4.563609467455621,5,2,0,Synthetic
4905,1006,4.8757455268389664,8,2,0,Synthetic
8302,2068,4.0145067698259185,2,0,1,Synthetic
14999,5890,2.5465195246179966,8,0,0,Synthetic
16034,5629,2.848463314976017,5,2,0,Synthetic
3664,1589,2.3058527375707993,2,0,0,Synthetic
18749,1136,16.504401408450704,1,1,1,Synthetic
14299,4045,3.534981458590853,5,0,0,Synthetic
8345,7414,1.1255732398165632,7,0,0,Synthetic
13932,2113,6.593469001419782,1,0,1,Synthetic
10206,7857,1.2989690721649485,3,1,0,Synthetic
14651,8394,1.745413390517036,3,1,0,Synthetic
7387,1092,6.764652014652015,9,0,1,Synthetic
4775,2133,2.2386310360993904,5,1,0,Synthetic
17774,1840,9.659782608695652,8,2,1,Synthetic
10974,9379,1.1700607740697302,9,2,0,Synthetic
5116,7081,0.7224968224827002,9,2,0,Synthetic
9852,9810,1.0042813455657493,2,2,0,Synthetic
4233,5570,0.7599640933572711,5,1,0,Synthetic
9205,8428,1.0921926910299002,5,0,0,Synthetic
12980,5433,2.3891036259893244,8,0,0,Synthetic
14659,517,28.35396518375242,3,1,1,Synthetic
1691,6383,0.26492245025849914,1,1,0,Synthetic
7414,2583,2.870305845915602,8,0,0,Synthetic
18188,7124,2.553060078607524,9,0,0,Synthetic
13581,4486,3.0274186357556845,6,2,0,Synthetic
16206,756,21.436507936507937,9,2,1,Synthetic
14970,7761,1.928875144955547,5,1,0,Synthetic
9866,4198,2.350166746069557,2,1,0,Synthetic
16177,8980,1.8014476614699333,7,1,0,Synthetic
9982,1336,7.471556886227545,9,0,1,Synthetic
7109,4743,1.4988403963736032,8,0,0,Synthetic
1107,5645,0.19610274579273693,3,1,0,Synthetic
11818,5552,2.1286023054755043,2,2,0,Synthetic
1535,771,1.9909208819714657,5,0,0,Synthetic
16761,7259,2.308995729439317,4,1,0,Synthetic
7591,1240,6.121774193548387,6,0,1,Synthetic
8173,9277,0.8809960116416945,1,1,0,Synthetic
11483,6553,1.7523271783915764,2,1,0,Synthetic
4899,886,5.529345372460496,4,2,1,Synthetic
2528,5326,0.4746526473901615,1,1,0,Synthetic
14514,9845,1.4742508887760284,2,0,0,Synthetic
14388,7466,1.9271363514599518,9,2,0,Synthetic
3442,9278,0.370985126104764,4,1,0,Synthetic
14098,3355,4.202086438152012,6,2,0,Synthetic
19380,1188,16.31313131313131,5,2,1,Synthetic
16435,4379,3.7531399862982417,6,2,0,Synthetic
5726,7624,0.7510493179433368,6,2,0,Synthetic
11525,2180,5.286697247706422,3,0,1,Synthetic
9084,991,9.166498486377396,2,2,1,Synthetic
18739,3810,4.918372703412073,8,1,0,Synthetic
17468,5976,2.9230254350736278,5,2,0,Synthetic
17534,3833,4.574484737803287,4,2,0,Synthetic
17443,6259,2.7868669116472278,5,1,0,Synthetic
19430,7925,2.451735015772871,9,1,0,Synthetic
11636,2075,5.607710843373494,4,0,1,Synthetic
5897,9408,0.6268069727891157,6,1,0,Synthetic
16600,2633,6.3045955184200535,8,2,1,Synthetic
4267,8665,0.4924408540103866,2,1,0,Synthetic
8457,9959,0.8491816447434481,9,0,0,Synthetic
18527,4397,4.213554696383898,9,2,0,Synthetic
313,3962,0.0790005047955578,8,0,0,Synthetic
10740,6931,1.549559948059443,9,1,0,Synthetic
5891,8983,0.6557942780808194,6,1,0,Synthetic
16119,2920,5.520205479452055,8,1,1,Synthetic
16485,6568,2.5098964677222897,1,0,0,Synthetic
12336,2149,5.7403443462075385,1,0,1,Synthetic
14551,8033,1.8114029627785386,6,2,0,Synthetic
10533,7214,1.4600776268367064,2,2,0,Synthetic
3141,305,10.298360655737705,7,0,1,Synthetic
18379,6290,2.921939586645469,3,2,0,Synthetic
2025,2256,0.8976063829787234,6,0,0,Synthetic
652,9107,0.07159327989458658,8,1,0,Synthetic
3489,9499,0.3673018212443415,7,2,0,Synthetic
13495,407,33.157248157248155,4,1,1,Synthetic
16505,8801,1.8753550732871265,3,2,0,Synthetic
4209,7379,0.5704024935628134,7,0,0,Synthetic
1660,1466,1.1323328785811733,3,2,0,Synthetic
19911,4980,3.9981927710843372,8,0,0,Synthetic
11994,2556,4.692488262910798,7,2,0,Synthetic
10281,7257,1.416701116163704,3,1,0,Synthetic
4744,8703,0.5450993910145927,9,2,0,Synthetic
16102,9146,1.760551060572928,3,0,0,Synthetic
6336,6278,1.0092386110226186,1,2,0,Synthetic
7105,358,19.8463687150838,8,0,1,Synthetic
12903,9779,1.3194600674915635,4,1,0,Synthetic
18196,4903,3.711197226188048,9,1,0,Synthetic
12103,9833,1.23085528322994,4,1,0,Synthetic
12682,1594,7.956085319949811,6,0,1,Synthetic
15696,729,21.530864197530864,8,0,1,Synthetic
19442,8104,2.399062191510365,3,1,0,Synthetic
12865,9331,1.3787375415282392,2,2,0,Synthetic
12297,4848,2.536509900990099,6,0,0,Synthetic
1746,213,8.19718309859155,8,2,1,Synthetic
14396,3355,4.290909090909091,2,2,1,Synthetic
13225,3416,3.871487119437939,9,0,0,Synthetic
2213,9644,0.22946909995852344,5,2,0,Synthetic
13860,5743,2.4133728016716,8,0,0,Synthetic
3474,6630,0.5239819004524887,3,1,0,Synthetic
16753,5924,2.8279878460499663,9,0,0,Synthetic
6376,6095,1.0461033634126333,1,0,0,Synthetic
17059,7229,2.359800802323973,4,0,0,Synthetic
3278,6252,0.5243122200895713,5,0,0,Synthetic
3668,9971,0.3678668137599037,8,2,0,Synthetic
1842,2125,0.8668235294117647,4,1,0,Synthetic
16101,1168,13.785102739726028,5,1,1,Synthetic
15460,6462,2.3924481584648714,3,1,0,Synthetic
10824,5378,2.0126441056154705,5,0,0,Synthetic
9300,1429,6.508047585724283,4,0,1,Synthetic
2389,1439,1.660180681028492,2,0,0,Synthetic
15498,5542,2.7964633706243234,8,2,0,Synthetic
6670,3449,1.9338938822847203,7,1,0,Synthetic
12215,6494,1.8809670465044657,4,1,0,Synthetic
11085,1091,10.160403299725022,7,1,1,Synthetic
9656,8520,1.1333333333333333,7,0,0,Synthetic
7619,4812,1.5833333333333333,6,2,0,Synthetic
15652,5438,2.8782640676719384,2,1,0,Synthetic
15604,7905,1.9739405439595192,8,2,0,Synthetic
12244,1186,10.323777403035413,8,0,1,Synthetic
3172,3324,0.9542719614921781,5,0,0,Synthetic
11965,8325,1.4372372372372373,2,1,0,Synthetic
17187,8333,2.062522500900036,9,0,0,Synthetic
7948,5408,1.4696745562130178,9,0,0,Synthetic
19714,688,28.65406976744186,4,1,1,Synthetic
15840,3373,4.696116217017492,4,1,0,Synthetic
4214,3753,1.1228350652811085,2,0,0,Synthetic
1100,9242,0.11902185674096516,1,1,0,Synthetic
9113,654,13.934250764525993,9,0,1,Synthetic
3826,7432,0.5148008611410119,7,2,0,Synthetic
9208,3075,2.9944715447154473,9,0,0,Synthetic
12692,9127,1.3905993206968337,1,2,0,Synthetic
14537,7210,2.01622746185853,8,1,0,Synthetic
3089,9418,0.3279889573157783,5,1,0,Synthetic
6571,3063,2.145282402873,2,1,0,Synthetic
1277,4960,0.2574596774193548,5,1,0,Synthetic
11656,8434,1.3820251363528575,7,1,0,Synthetic
16273,6770,2.403692762186115,5,2,0,Synthetic
9306,4631,2.009501187648456,5,2,0,Synthetic
9006,4346,2.072250345144961,4,0,0,Synthetic
16624,5082,3.2711530893349074,2,1,1,Synthetic
6112,1163,5.255374032674118,5,1,1,Synthetic
3710,7094,0.5229771638003947,3,1,0,Synthetic
9973,6987,1.4273651066265922,9,1,0,Synthetic
1386,7252,0.19111969111969113,7,2,0,Synthetic
18843,8305,2.2688741721854306,8,1,0,Synthetic
1898,9800,0.1936734693877551,8,0,0,Synthetic
13773,6484,2.1241517581739666,7,1,0,Synthetic
1400,7069,0.19804781440090535,9,1,0,Synthetic
4716,209,22.564593301435405,8,1,1,Synthetic
5852,6495,0.9010007698229408,1,1,0,Synthetic
1416,5899,0.240040684861841,2,2,0,Synthetic
3783,7427,0.5093577487545442,7,1,0,Synthetic
245,5210,0.04702495201535509,4,1,0,Synthetic
3140,9854,0.31865232392936876,2,0,0,Synthetic
16966,3379,5.021012133767387,2,0,1,Synthetic
17114,9053,1.8904230641776207,5,2,0,Synthetic
1087,7822,0.13896701610841217,9,1,0,Synthetic
17584,6852,2.5662580268534736,9,1,0,Synthetic
869,1543,0.5631885936487362,3,2,0,Synthetic
11643,2549,4.567673597489211,3,1,1,Synthetic
1225,9582,0.12784387393028596,4,0,0,Synthetic
12740,8043,1.5839860748476937,3,0,0,Synthetic
10206,5389,1.8938578586008536,9,2,0,Synthetic
17191,2004,8.578343313373253,1,1,1,Synthetic
5151,2675,1.925607476635514,5,1,0,Synthetic
1835,9977,0.18392302295279142,3,1,0,Synthetic
8079,2628,3.074200913242009,3,1,1,Synthetic
5349,5491,0.974139501001639,2,1,0,Synthetic
9786,4411,2.218544547721605,8,1,0,Synthetic
12175,3574,3.406547285954113,9,2,0,Synthetic
307,2865,0.10715532286212914,9,2,0,Synthetic
3183,3919,0.8121969890278132,4,2,0,Synthetic
1779,436,4.080275229357798,7,2,0,Synthetic
15563,9932,1.5669552960128876,4,0,0,Synthetic
16769,348,48.1867816091954,4,1,1,Synthetic
4995,5480,0.9114963503649635,5,1,0,Synthetic
9815,2985,3.288107202680067,4,0,0,Synthetic
5882,6457,0.9109493572866656,2,0,0,Synthetic
16824,3017,5.576400397746105,9,0,1,Synthetic
18980,6162,3.080168776371308,3,1,1,Synthetic
18173,3467,5.241707528122296,2,2,1,Synthetic
17926,8797,2.0377401386836422,6,0,0,Synthetic
4207,760,5.535526315789474,6,1,1,Synthetic
1926,7829,0.24600843019542726,6,2,0,Synthetic
7793,8464,0.9207230623818525,5,2,0,Synthetic
6821,7202,0.9470980283254652,2,2,0,Synthetic
7473,6107,1.2236777468478794,2,1,0,Synthetic
5756,9184,0.6267421602787456,6,0,0,Synthetic
8386,6101,1.3745287657761023,1,1,0,Synthetic
